Record;EDID;Full - Name
5422058;recipe_mod_PipeGun_Receiver_Automatic-AmmoConversion;Plan:  Pipe Gun Automatic .38 Receiver
5423803;recipe_mod_PipeGun_Receiver_AmmoConv45-HipAccuracy;Plan:  Pipe Gun Precise .45 Receiver
5419061;recipe_mod_PipeRevolver_SCOPE_shortscope_NV_Base;Plan:  Pipe Revolver Short NV Scope
4419591;Recipe_Weapon_Ranged_44;Plan: .44 Revolver
4419598;Recipe_Weapon_Ranged_50CalMachineGun;Plan: .50 Cal Machine Gun
5432453;Recipe_Weapon_Ranged_10mm;Plan: 10mm Pistol
5195626;Recipe_Weapon_Ranged_10mmSMG;Plan: 10mm Submachine Gun
5588919;recipe_mod_10mmSMG_Magazine_Ammo;Plan: 10mm Submachine Gun Drum Magazine
4023604;Recipe_Workshop_Instruments_Wood;Plan: Acoustic Instruments
5152721;Recipe_Workshop_PowerConnectors_AdvancedItems;Plan: Advanced Power Connectors
3970294;Recipe_Workshop_WallDecor_PoweredPoster_Adverts;Plan: Advertisement Posters
4419596;POST_Recipe_Weapon_Ranged_AlienBlaster;Plan: Alien Blaster
3470;recipe_mod_AlienBlaster_AlienMag_AmmoConversion;Plan: Alien Blaster Fusion Mag
3469;POST_recipe_mod_AlienBlaster_Scope_ScopeShort_NV;Plan: Alien Blaster Short NV Scope
5731011;Recipe_Workshop_FloorDecor_PumpkinCarved06;Plan: Alien Jack O'Lantern
4147049;Recipe_Workshop_FloorDecor_Fasnacht_AlpineHorn;Plan: Alpine Horn
6146639;SCORE_Recipe_workshop_CAMP_Utility_AmmoConverter_GoldVendor;Plan: Ammo Converter
6127196;Recipe_Workshop_FloorDecor_Animatronic_Clown;Plan: Animatronic Clown
3970246;Recipe_Workshop_Lights_AntiqueLights;Plan: Antique Lights
3963882;Recipe_Workshop_Tables_Federalist01;Plan: Antique Tables
5139696;Recipe_Workshop_Chairs_Chairs_Wood_Antique;Plan: Antique Wooden Chairs
4629417;zzz_Recipe_Backpack_Material_Aqua;Plan: Aqua Backpack Material
5902034;W05_Recipe_workshop_AmmoConstructionMachine_GoldVendor;Plan: ArmCo Ammunition Construction Appliance
5147035;Recipe_Workshop_DefensiveStructures_Artillery;Plan: Artillery
5146999;Recipe_Workshop_Appliances_HighTechAshtray_Dirty;Plan: Ashtray
5195632;Recipe_Weapon_Ranged_AssaultRifle_MQ;Plan: Assault Rifle
2161;recipe_mod_AssaultRifle_Receiver_FastTrigger-CritDMG;Plan: Assault Rifle Fierce Receiver
5463091;recipe_mod_AssaultRifle_SCOPE_longscope_NV_Base;Plan: Assault Rifle Long NV Scope
5463092;recipe_mod_AssaultRifle_SCOPE_mediumscope_NV_Base;Plan: Assault Rifle Medium NV Scope
3271272;recipe_mod_AssaultRifle_Receiver_ScorchedKiller;Plan: Assault Rifle Scorched Killer's Receiver
